Mean,Median,Mode,Std Dev,Num Smoke Regions,Avg Smoke Area,Avg Red,Avg Green,Avg Blue,Label,Is_Smoke
194.88743489583334,190.0,163,25.769673674058478,1,512155.5,204.58603624131945,195.57707682291667,189.72969835069443,1,0
194.88441948784723,190.0,163,25.77417793321559,1,512199.5,204.58720377604166,195.570849609375,189.73142252604165,1,0
194.90988172743056,190.0,163,25.789999239464937,1,511083.5,204.61667209201389,195.58986328125,189.7653591579861,1,0
194.72185438368055,190.0,163,25.90850289742566,1,511503.5,204.4196896701389,195.39505316840277,189.59283962673612,1,0
194.723974609375,190.0,163,25.9134793449904,1,511533.5,204.4195974392361,195.39292860243054,189.60321723090277,1,0
194.71102105034723,190.0,163,25.92652435238442,1,511570.0,204.39705729166667,195.37206380208335,189.60751193576388,1,0
194.76825846354166,190.0,163,26.082180012791394,1,512086.5,204.3940842013889,195.37682183159723,189.79365668402778,1,0
194.48170355902778,190.0,163,26.446772192921305,2,256508.5,204.05065646701388,195.0406271701389,189.629501953125,1,0
194.37341037326388,190.0,163,26.686023683738306,2,256539.75,203.91021375868056,194.89936631944445,189.59859483506943,1,0
194.32967881944444,190.0,163,26.839752989210666,2,256698.5,203.8117458767361,194.81116644965277,189.66676106770834,1,0
194.4693240017361,190.0,163,26.733301202517413,4,128457.875,203.91223307291668,194.91591796875,189.89187174479167,1,0
194.52110460069446,190.0,163,26.424456525841876,8,64156.25,203.99305989583334,195.00031792534722,189.86657986111112,1,0
194.53208984375,190.0,163,26.240531133118825,2,256890.25,204.01829752604166,195.02083441840279,189.85331922743055,1,0
194.15892903645835,190.0,163,27.111110891888465,2,257963.5,203.38298936631944,194.44646809895832,189.97636176215278,1,0
193.16812065972223,189.0,163,28.719998449940896,3,172467.33333333334,201.89384114583333,193.012041015625,190.0565353732639,1,0
192.30760416666666,189.0,163,30.152686856098363,7,72651.71428571429,200.6623068576389,191.85189670138888,189.9295073784722,1,0
191.7995952690972,189.0,163,31.117561367935544,12,41235.208333333336,199.98664605034722,191.1891558159722,189.80746961805556,1,0
191.2496408420139,188.0,163,31.89741798094385,7,71612.85714285714,199.14927842881946,190.42980685763888,189.76832356770834,1,0
190.5006271701389,188.0,163,32.467052971997916,6,83947.66666666667,197.98058810763888,189.28675889756946,189.95210828993055,1,0
190.8093023003472,188.0,163,31.324807864205024,3,166329.5,198.42374131944445,189.70614691840277,189.98812825520832,1,0
191.32069878472223,188.0,163,30.12921700598348,4,125081.625,199.16226236979168,190.392158203125,190.06465277777778,1,0
187.8397504340278,186.0,163,35.32802988436566,3,161652.0,193.70876627604167,185.28234375,190.52542860243057,1,0
188.0559548611111,187.0,163,36.77803730953723,9,54028.22222222222,193.935908203125,185.52629774305555,190.68597005208332,1,0
188.55223307291666,188.0,163,36.76979580695629,8,59617.6875,194.72803385416665,186.25753146701388,190.619111328125,1,0
188.70926540798612,188.0,163,36.43101204392456,9,53013.055555555555,194.98744791666667,186.5596701388889,190.4395171440972,1,0
188.68769422743057,187.0,163,36.260373079432426,12,39931.625,195.03825303819445,186.61337022569444,190.2374978298611,1,0
188.65724066840278,187.0,163,36.276506828541635,12,39999.708333333336,195.066357421875,186.6070269097222,190.14119683159723,1,0
188.57957356770834,187.0,163,36.30710636686463,12,40093.791666666664,194.97211805555557,186.53358723958334,190.05693250868055,1,0
188.596728515625,187.0,163,36.28484820922484,13,36969.07692307692,195.01691731770833,186.53742513020833,190.092568359375,1,0
188.57911458333334,187.0,163,36.30644407688123,14,34340.25,194.97654947916666,186.53738064236111,190.0420562065972,1,0
188.5789572482639,187.0,163,36.322475300198114,13,36933.07692307692,194.9856011284722,186.53467664930557,190.04946180555555,1,0
188.61530707465278,187.0,163,36.29007364506101,13,36941.230769230766,195.06542317708335,186.554130859375,190.11265625,1,0
188.66496961805555,187.0,163,36.3161998599069,13,36848.61538461538,195.07716254340278,186.62148111979167,190.13228732638888,1,0
189.01148980034722,188.0,163,36.19739330158974,10,48950.7,195.4629296875,186.9449609375,190.5188335503472,1,0
189.4246603732639,188.0,163,36.19893321329954,10,48572.55,195.82877604166666,187.38118489583334,190.89694118923612,1,0
189.95429578993057,189.0,163,36.245838271235456,16,29470.75,196.38174045138888,187.886875,191.46246961805556,1,0
189.59894314236112,188.0,163,36.19781204677058,10,48447.35,196.00086046006945,187.550966796875,191.0850021701389,1,0
189.11648328993056,188.0,163,36.16874025597146,10,48911.7,195.56683268229168,187.0479047309028,190.62663953993055,1,0
188.7555002170139,187.0,163,36.26442711021589,12,39841.166666666664,195.18366861979166,186.7122146267361,190.2196853298611,1,0
188.65848415798612,187.0,163,36.248738483233225,14,34335.607142857145,195.1200021701389,186.60029188368057,190.14108615451389,1,0
188.63194986979167,187.0,163,36.27904990572001,15,32059.566666666666,195.06652994791668,186.5881759982639,190.09282118055555,1,0
188.62891384548612,187.0,163,36.24444698446956,13,37001.38461538462,195.0694704861111,186.5837619357639,190.08977756076388,1,0
188.61453342013888,187.0,163,36.25710093494491,14,34397.5,195.06052842881945,186.5637771267361,190.0882736545139,1,0
188.61105685763889,187.0,163,36.28654562466506,13,37025.230769230766,195.04980794270833,186.5642035590278,190.0784201388889,1,0
188.61405164930557,187.0,163,36.28208215787615,12,40097.583333333336,195.05472547743057,186.56662000868056,190.08238172743054,1,0
188.6312944878472,187.0,163,36.25964537679885,13,36998.692307692305,195.10672200520833,186.56682508680555,190.12254014756945,1,0
188.60673285590278,187.0,163,36.28557335027087,14,34342.53571428572,195.05658528645833,186.55982204861112,190.07280598958334,1,0
188.63889756944445,187.0,163,36.25052603784886,12,40045.416666666664,195.11906792534722,186.57500651041667,190.13260091145833,1,0
188.68432942708333,187.0,163,36.2833328322015,13,36884.846153846156,195.1255002170139,186.63958875868056,190.14746853298612,1,0
189.02164713541666,188.0,163,36.16142102264819,10,49018.45,195.50265842013889,186.95138346354167,190.52700520833332,1,0
189.4405349392361,188.0,163,36.16169802443899,11,44240.681818181816,195.87290690104166,187.39817274305557,190.90601453993057,1,0
189.947060546875,189.0,163,36.191820711776856,15,31525.866666666665,196.40017469618056,187.88186197916667,191.44655381944443,1,0
189.5914995659722,188.0,163,36.13157863445245,11,44207.5,196.02265299479166,187.54888237847223,191.05507921006944,1,0
189.1545920138889,188.0,163,36.12244985362008,10,49036.35,195.63795464409722,187.083642578125,190.65348198784721,1,0
188.78127495659723,187.0,163,36.23295652771201,12,40052.25,195.223486328125,186.73322374131945,190.242998046875,1,0
188.67773871527777,187.0,163,36.23002256763269,12,40206.958333333336,195.15305989583334,186.61447048611112,190.15841362847223,1,0
188.6509765625,187.0,163,36.26305777034466,11,43890.045454545456,195.09267469618055,186.6052886284722,190.10576714409723,1,0
188.64612847222222,187.0,163,36.246353183815,12,40252.083333333336,195.0936154513889,186.59983072916665,190.09940972222222,1,0
188.64063585069445,187.0,163,36.24135053339738,11,43917.36363636364,195.08643012152777,186.58884657118057,190.10286675347223,1,0
188.62621636284723,187.0,163,36.26573961436567,11,43879.36363636364,195.06303168402778,186.58004665798612,190.0795334201389,1,0
188.61210394965278,187.0,163,36.23773622143735,12,40226.0,195.0505078125,186.57396375868055,190.0561762152778,1,0
187.94373372395833,186.0,160,36.45846677523579,10,47674.95,194.41456163194445,186.15728515625,189.15583984375,1,0
187.95368489583333,186.0,160,36.47140805863111,10,47599.8,194.41341796875,186.17704210069445,189.15762478298612,1,0
187.9487651909722,186.0,160,36.45665806857598,11,43270.681818181816,194.41564127604167,186.18458984375,189.1362065972222,1,0
187.95638888888888,186.0,160,36.45349499416671,10,47611.6,194.43197374131944,186.18296440972222,189.15256727430557,1,0
187.96836805555554,186.0,160,36.47485518296141,11,43227.09090909091,194.43407335069443,186.20076171875,189.1566286892361,1,0
188.00842339409724,186.0,160,36.436492738025265,11,44281.09090909091,194.51104166666667,186.22565863715278,189.21327582465278,1,0
187.97048828125,186.0,160,36.47010936811604,12,39613.458333333336,194.44108289930554,186.20816514756945,189.15188368055556,1,0
188.00006076388888,186.0,160,36.4522896180622,10,48709.85,194.49134765625,186.229111328125,189.19251627604166,1,0
187.96641927083334,186.0,160,36.472304833997995,11,43214.72727272727,194.43707465277777,186.21371202256944,189.1359103732639,1,0
187.95675130208335,186.0,160,36.476895485906034,11,43217.72727272727,194.43317165798612,186.19949869791665,189.1317306857639,1,0
188.001572265625,186.0,160,36.43929137728021,11,44260.545454545456,194.50006727430556,186.23006510416667,189.19531032986112,1,0
187.965048828125,186.0,160,36.466173014073206,11,43215.181818181816,194.44503146701388,186.20601779513888,189.14250325520834,1,0
188.00144422743057,186.0,160,36.443842791131296,10,48684.05,194.50823893229168,186.22861219618056,189.19642035590277,1,0
187.95885416666667,186.0,160,36.47694473991199,11,43244.045454545456,194.44265733506944,186.2021245659722,189.13317816840276,1,0
187.9726909722222,186.0,160,36.46116138862393,12,39594.958333333336,194.46602647569443,186.21573350694445,189.1460959201389,1,0
187.9814214409722,186.0,160,36.46591177035609,12,39646.541666666664,194.47286675347223,186.21997938368057,189.16454861111112,1,0
187.96236436631943,186.0,160,36.4771067083289,9,52858.61111111111,194.44853081597222,186.20841145833333,189.13462456597222,1,0
187.84555555555556,186.0,160,36.48310749040761,9,52886.61111111111,194.35390625,186.07418294270835,189.03899522569444,1,0
187.79632052951388,186.0,160,36.51981444259494,9,52913.833333333336,194.2781271701389,186.03517144097222,188.98209309895833,1,0
187.85122938368056,186.0,160,36.497209860346565,9,52870.61111111111,194.35693142361112,186.0707660590278,189.06324001736112,1,0
187.80991536458333,186.0,160,36.52315711186786,9,52919.333333333336,194.29279079861112,186.044111328125,189.00471028645833,1,0
187.80934136284722,186.0,160,36.5262655237598,9,52954.38888888889,194.295361328125,186.0394943576389,189.01003689236111,1,0
188.01507921006944,186.0,160,36.444124395517655,9,54157.833333333336,194.51793836805555,186.23136176215277,189.23513563368056,1,0
187.98089518229168,186.0,160,36.46475825265187,10,47669.75,194.46228081597224,186.20790147569446,189.18916449652778,1,0
187.845244140625,186.0,160,36.50185077319753,11,43312.86363636364,194.34338541666668,186.05567816840278,189.08095160590278,1,0
187.80763563368055,186.0,160,36.525594028996395,9,53002.27777777778,194.28664171006943,186.03143229166668,189.024423828125,1,0
187.97383355034722,186.0,160,36.45324303744622,9,52963.61111111111,194.4518511284722,186.192626953125,189.2026171875,1,0
187.97759440104167,186.0,160,36.45874220524877,8,59586.875,194.46118598090277,186.197294921875,189.19997612847223,1,0
187.9633984375,186.0,160,36.47711069062406,8,59585.375,194.4370171440972,186.18631076388888,189.18270616319444,1,0
187.97439778645833,186.0,160,36.461258765306226,9,52936.38888888889,194.45597330729166,186.19075086805555,189.20695855034722,1,0
187.9718532986111,186.0,160,36.47128989826193,10,47688.55,194.4476540798611,186.18231553819444,189.21898111979166,1,0
187.95774305555557,186.0,160,36.48718950816591,8,59617.5625,194.4296310763889,186.17469184027777,189.19423394097223,1,0
188.11342664930555,186.0,160,36.34914045750455,8,60749.375,194.60887803819443,186.31662434895833,189.36748046875,1,0
188.3254806857639,186.0,160,36.29784783452982,9,53812.22222222222,194.79057074652778,186.54550672743056,189.55810329861112,1,0
188.76758572048612,187.0,160,36.28481358540141,10,48072.85,195.23740885416666,186.9829904513889,190.00726888020833,1,0
189.40288953993056,188.0,160,36.258605104506124,11,45800.318181818184,195.86277452256945,187.62617078993057,190.63061957465277,1,0
188.67781575520834,187.0,160,36.26686817850886,9,53564.77777777778,195.13528103298611,186.89554578993057,189.9145724826389,1,0
188.45022786458333,187.0,160,36.30855034087789,9,53735.61111111111,194.9434353298611,186.64191840277778,189.72205512152777,1,0
188.23109809027778,186.0,160,36.410414740455444,9,53987.88888888889,194.70201171875,186.43814453125,189.48362413194445,1,0
188.18682183159723,186.0,160,36.45175355731993,10,48588.6,194.68152669270833,186.37427083333333,189.46550130208334,1,0
188.1430023871528,186.0,160,36.49207186793918,10,48616.15,194.60325737847222,186.35167317708334,189.3957009548611,1,0
188.13365342881946,186.0,160,36.474795096649444,9,54057.27777777778,194.59599175347222,186.33842339409722,189.39343424479168,1,0
188.15041883680556,186.0,160,36.49103860510262,9,54051.833333333336,194.61445203993057,186.35255859375,189.4129709201389,1,0
188.12231662326388,186.0,160,36.511856198053714,9,54060.055555555555,194.57403211805556,186.3266362847222,189.38656901041668,1,0
188.14428819444444,186.0,160,36.50347477890708,8,60681.5625,194.6139431423611,186.3304611545139,189.43487955729168,1,0
188.09952256944445,186.0,160,36.52754162977732,9,53969.38888888889,194.54266384548612,186.30390625,189.36611870659723,1,0
188.09777235243055,186.0,160,36.511850557712044,9,53924.666666666664,194.55663845486112,186.29676432291666,189.36960394965277,1,0
188.08348741319443,186.0,160,36.52130054000114,10,48575.25,194.55021158854166,186.28073459201389,189.35586697048612,1,0
188.0624945746528,186.0,160,36.54903431440141,9,54023.555555555555,194.521123046875,186.26132052951388,189.33558919270834,1,0
